institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,clt,SMHI-RCA4
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,ts,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,clh,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,cll,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,clm,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,clt,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,hfss,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,huss,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,rlds,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,rlus,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,rsds,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,rsus,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,snw,ICTP-RegCM4-6
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,hfls,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,rlds,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,rlus,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,rsds,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,rsus,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,snw,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,ts,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,clh,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,cll,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,clm,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,clt,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,hfls,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,hfss,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,huss,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,rlds,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,rlus,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,rsds,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,rsus,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,snw,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,ts,ICTP-RegCM4-6
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,hfls,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,clh,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,cll,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,clm,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,clt,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,hfss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,huss,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,rsds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,rlds,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,rlus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,rsus,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,v1a,ts,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,historical,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,rsds,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,rsus,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,rlus,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RCA4,v1,ts,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,clh,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,cll,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,clm,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,clt,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,hfss,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,hfls,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,huss,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1,rlds,SMHI-RCA4
