institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
DMI,ICHEC-EC-EARTH,rcp45,r3i1p1,HIRHAM5,v1-METNO-QMAP-MESAN-1989-2010,tasmaxAdjust,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp45,r3i1p1,HIRHAM5,v1-METNO-QMAP-MESAN-1989-2010,tasAdjust,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp45,r3i1p1,HIRHAM5,v1-METNO-QMAP-MESAN-1989-2010,prAdjust,DMI-HIRHAM5
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasmaxAdjust,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasminAdjust,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasAdjust,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp45,r12i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasmaxAdjust,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasminAdjust,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasAdjust,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,SMHI-RCA4
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasmaxAdjust,CLMcom-CCLM4-8-17
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasminAdjust,CLMcom-CCLM4-8-17
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,tasmaxAdjust,CLMcom-CCLM4-8-17
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasAdjust,CLMcom-CCLM4-8-17
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,tasAdjust,CLMcom-CCLM4-8-17
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,prAdjust,CLMcom-CCLM4-8-17
CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasmaxAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasminAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,prAdjust,CLMcom-CCLM4-8-17
